"","input_corr","input_gini1","input_gini2","input_badrate","theor_gini_combined","actual_gini1","actual_gini2","actual_corr","actual_bad_rate","gini_model","gini_logistic","gini_probit","diff.logistic","diff.probit"
"74",0.176983468530234,0.389288841187954,0.596458222530782,0.291653132000938,0.668815574242195,0.395803618346971,0.570912469033856,0.202015206955344,0.308,0.645102715340288,0.648130770963141,0.648262142481796,0.00302805562285258,0.00315942714150719
"75",0.748619291223586,0.555110475979745,0.466690045595169,0.229676130863372,0.560911425423871,0.514581088362069,0.465629489942529,0.752390510691997,0.232,0.5287944146575,0.525480423850575,0.52514367816092,-0.00331399080692552,-0.00365073649658076
"76",0.770040688477457,0.152276495285332,0.607778953388333,0.307892079944722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",0.0288468368863687,0.290320574864745,0.180533984303474,0.365585576391313,0.338909139337642,0.327877269009207,0.133590908299831,0.0291527116059488,0.358,0.351421729480665,0.35134617727423,0.350989401138203,-7.55522064341818e-05,-0.000432328342461652
"78",0.209760768113192,0.616534425131977,0.21317355632782,0.443631902267225,0.624147080497498,0.626847032662466,0.287307239884626,0.210638375525851,0.458,0.651131632062928,0.645305274013439,0.645321387711694,-0.00582635804948906,-0.00581024435123423
"79",0.800788635110948,0.364448321051896,0.636875014193356,0.490552973807789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",0.390762742704246,0.316834510304034,0.667777146585286,0.251607184617314,0.671231567527522,0.322818521347933,0.658167812579577,0.402748330793822,0.252,0.661908926584275,0.661117477293948,0.660958322723029,-0.000791449290327151,-0.000950603861246346
"81",0.478311926058959,0.214557388797402,0.186468166299164,0.0864493082254194,0.23465813570343,0.153136973180077,0.217013888888889,0.52915180315678,0.072,0.221564235348001,0.223868534482759,0.224227729885057,0.00230429913475727,0.00266349453705605
"82",0.244039216933306,0.281145458295941,0.815988819114864,0.162602751741651,0.820068996779472,0.337718144347979,0.834847779599161,0.281197848609241,0.181,0.841733344156895,0.84152618406762,0.841377775079432,-0.000207160089274128,-0.000355569077462148
"83",0.455069486580323,0.222702256217599,0.770282785780728,0.12843713845592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",0.422866035012994,0.830892946757376,0.803476878814399,0.210832394275349,0.972490394307892,0.825259776958329,0.818477877690797,0.426501681509275,0.233,0.981325189361235,0.97850160314698,0.978579941917397,-0.00282358621425494,-0.00274524744383786
"85",0.399250558388885,0.379753551073372,0.190007518790662,0.274827295350842,0.382247880036562,0.32860563173533,0.192464023405666,0.388241602391308,0.271,0.336346963053023,0.339154379198113,0.339022772943779,0.0028074161450895,0.00267580989075555
"86",0.514544886716176,0.560946159251034,0.398032677173615,0.255089302409906,0.576613742865458,0.563061333333333,0.370709333333333,0.496460766289392,0.25,0.573799209054952,0.577717333333333,0.577546666666667,0.00391812427838123,0.00374745761171447
"87",0.82704860673286,0.745888073928654,0.754901383630931,0.0159428747743368,0.776534949125781,0.715065076767204,0.738757696204505,0.817716338015897,0.013,0.755317792495232,0.755903670797288,0.759332865715844,0.000585878302055587,0.00401507322061212
"88",0.258559155694675,0.515334608219564,0.35885432139039,0.0170836521754973,0.557528925897216,0.43346911065852,0.468205476352116,0.312684647233377,0.018,0.547932509135207,0.526929169495361,0.526363430640416,-0.0210033396398461,-0.0215690784947906
"89",0.792825604097452,0.801938420534134,0.594878291152418,0.268618228530977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",0.471193957412615,0.214282893389463,0.596091480925679,0.184106843853369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",0.634556260281242,0.267854520305991,0.62298290990293,0.243867440491449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",0.53000942497747,0.644568732567132,0.736989872902632,0.0807753137289546,0.784885038382153,0.581402221953546,0.721919961310603,0.512715253091276,0.081,0.754749324458534,0.75741210924381,0.757788256156047,0.00266278478527604,0.00303893169751279
