"input_corr","input_gini1","input_gini2","input_badrate","theor_gini_combined","actual_gini1","actual_gini2","actual_corr","actual_rho","actual_rho2","actual_bad_rate","gini_model","gini_model_rho","gini_model_rho2","gini_logistic","gini_logs","gini_probit","diff.logistic","diff.logistic2","diff.logs2","diff.probit"
0.370141448106151,0.360450326092541,0.453404370695353,0.13210749240825,0.497702691815626,0.421141159120602,0.375325489816825,0.313983845746082,0.313438059782381,0.326760120651702,0.1292,0.49175601162437,0.491854823181048,0.489461056265934,0.48071788370112,0.488682695958732,0.480901693898071,-0.0110381279232503,-0.00874317256481416,-0.000778360307201575,-0.010854317726299
0.72106667148415,0.655720133706927,0.519608442299068,0.124332266307902,0.65859810737644,0.774401533811711,0.430567057539965,0.616459657625492,0.613271808708718,0.631236938969037,0.1196,NA,NA,NA,0.795260667467966,0.820480087342483,0.795080793315294,NA,NA,NA,NA
0.677007312839851,0.177446419745684,0.768670300394297,0.212357605216093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.292368290000595,0.350323028676212,0.752064598537982,0.14159028316848,0.763128300459216,0.367325147128749,0.671491901327058,0.317450388138818,0.318709333063093,0.332204761637374,0.1427,0.689768486889489,0.689584292532151,0.687660065096973,0.677941641556327,0.679451245664528,0.677605193077368,-0.0118268453331623,-0.009718423540646,-0.008208819432445,-0.0121632938121212
0.571984048567247,0.871379425935447,0.41578286215663,0.424386873501353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0637807398475707,0.487459622323513,0.437683663517237,0.296814499881584,0.643847518614868,0.211857764565533,0.407323745480487,0.502351089706774,0.500906769353068,0.518555242774986,0.302200000000001,0.40746105062308,0.407479201186954,0.407333966521493,0.407343283106459,0.407626009625791,0.407314356038901,-0.00011776751662107,9.31658496594601e-06,0.00029204310429809,-0.000146694584178819
0.755015705034602,0.441810340620577,0.230411205813289,0.373286570634227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.121721495760139,0.538036665320396,0.450684718228877,0.127956888251938,0.659049588558373,0.214880575900664,0.385410726581053,0.50408420854514,0.506879602024796,0.524593538597236,0.1257,0.386100505548642,0.386030632217315,0.38567066932905,0.385499716968711,0.385932111981207,0.385500080937578,-0.000600788579931066,-0.00017095236033926,0.000261442652156774,-0.000600424611064465
0.166808224758133,0.802713377587497,0.376904021948576,0.116936186840758,0.833521516475284,0.205491589804328,0.257994527966603,0.751916713135724,0.75278303804783,0.768058597031947,0.121,0.258566693174519,0.258546069153977,0.258237878331078,0.258240111321091,0.258651360016547,0.258194981148749,-0.000326581853428376,2.23299001333999e-06,0.00041348168546973,-0.000371712025770021
0.00634088464546949,0.777099069394171,0.480141966976225,0.169794384196866,0.906496519644904,0.353780138221949,0.431011849064097,0.750410775397395,0.752267578930676,0.767560171956741,0.168400000000001,0.433461242385857,0.433349219754921,0.432505607696503,0.431712927259244,0.431713926963333,0.431771481355804,-0.00174831512661311,-0.000792680437259108,-0.000791680733170042,-0.00168976103005347
0.74131223136792,0.224974158033729,0.341483225300908,0.370921676864382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0547687740647234,0.246188754960895,0.855198537930846,0.221183825887274,0.880243412711069,0.240530200873014,0.825192618055933,0.229537924180929,0.230498597064986,0.240792017494641,0.2265,0.82730017678661,0.827242267960977,0.826671035953846,0.825258714795146,0.825402095631933,0.825254262683176,-0.0020414619914646,-0.00141232115870049,-0.00126894032191349,-0.00204591410343369
0.941567846748512,0.569280702993274,0.144216980040073,0.132224837406538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
