"","input_corr","input_gini1","input_gini2","input_badrate","theor_gini_combined","actual_gini1","actual_gini2","actual_corr","actual_rho","actual_bad_rate","gini_model","gini_model_rho","gini_logistic","gini_probit","diff.logistic","diff.probit"
"21",0.0000864920835010707,0.335389058478177,0.703628296032548,0.307351267104968,0.790787755408328,0.354333186546775,0.695330956338102,0.0132048599142204,0.0159038739630387,0.303,0.78780554299644,0.786873668999124,0.789092622318186,0.789085046237766,0.00128707932174565,0.00127950324132553
"22",0.657354930897709,0.697176129929721,0.727823978848755,0.117198566440493,0.77872740394727,0.72655286667692,0.762516531995542,0.665633706517312,0.647148932403489,0.1143,0.811059529060971,0.815078638223715,0.810644901181413,0.81065537181568,-0.00041462787955715,-0.000404157245290415
"23",0.98891381559195,0.182073732838035,0.534178350865841,0.311692763937172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",0.792295345456805,0.155754731036723,0.687128415331244,0.135465720030479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",0.934514983256813,0.2344886129722,0.553669188730419,0.325571478451602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",0.595598014940042,0.454961936175823,0.566861036978662,0.414523203012068,0.588413073099517,0.457839969697764,0.567930370158564,0.593303774113019,0.573530622599306,0.4138,0.590609646240509,0.593856597549225,0.591803274903908,0.591802862651027,0.00119362866339889,0.00119321641051773
"27",0.132376291346736,0.433216367475688,0.548867027089,0.0626506122667342,0.646980808496584,0.422766543376232,0.577195973752317,0.129432369253259,0.127515294939153,0.0617,0.663511320564667,0.663979813649946,0.669767611378971,0.669717173598033,0.00625629081430357,0.00620585303336574
"28",0.97114494016394,0.43277280908078,0.224889744073153,0.432490988166537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",0.157689583646134,0.513203204236925,0.720629875548184,0.413869664329104,0.849929214990967,0.510056762303981,0.732183408568127,0.163951332575,0.157343224681432,0.4133,0.855332812993011,0.857938967617915,0.85651874887286,0.856517429193316,0.0011859358798485,0.00118461620030463
"30",0.118562498800457,0.656153729371727,0.319187347404659,0.0436709674680606,0.690026568902205,0.63753516533182,0.303171775890259,0.116067821740276,0.108059380584594,0.0477,0.669882518764986,0.671296898978396,0.674490822285932,0.674510635290792,0.00460830352094632,0.00462811652580641
"31",0.892543279440142,0.813629483617842,0.586840963549912,0.0105301773059182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
