"","input_corr","input_gini1","input_gini2","input_badrate","theor_gini_combined","actual_gini1","actual_gini2","actual_corr","actual_rho","actual_rho2","actual_bad_rate","gini_model","gini_model_rho","gini_model_rho2","gini_logistic","gini_logs","gini_probit","diff.logistic","diff.logistic2","diff.logs2","diff.probit"
"16",0.419976235509384,0.252234067581594,0.839872208982706,0.244499877297785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",0.415089976661839,0.519011515192688,0.835220632143319,0.262491999836639,0.861251661680031,0.501746429129567,0.821539270622704,0.408138862097019,0.384539158235814,0.39997317634802,0.2769,0.846676122203142,0.851673126574421,0.848363233507363,0.848484163351336,0.850229718470182,0.848482710995332,0.00180804114819377,0.000120929843972828,0.00186648496281872,0.00180658879218942
"18",0.924076850877609,0.247493917681277,0.703402179479599,0.156424202399794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",0.665345077975653,0.447933913581073,0.88832894936204,0.249323975667357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",0.751105782631785,0.636122377216816,0.373061993159354,0.283152743617538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",0.370141448106151,0.577772016078234,0.566087018884718,0.488015568263363,0.703251295898758,0.561871274726683,0.549541578750506,0.369722281676301,0.342130259876065,0.356364806310841,0.487690000000002,0.682678578536079,0.690423878849377,0.686395035031603,0.68681364384404,0.688895253600138,0.686809272394332,0.00413506530796148,0.00041860881243716,0.00250021856853433,0.00413069385825326
"22",0.72106667148415,0.894675363786519,0.261616931855679,0.106909446304198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",0.677007312839851,0.723072837851942,0.808706714399159,0.326106096252333,0.850651995320671,0.705877419246756,0.797591747980385,0.67622676947777,0.646305886526819,0.663965894776004,0.335739999999999,0.836263103937072,0.84405493903447,0.839410723162278,0.83913622643695,0.841417057185936,0.839128093484923,0.00287312249987703,-0.000274496725328977,0.00200633402365735,0.00286498954785075
"24",0.292368290000595,0.677619410865009,0.164886379428208,0.380989812847693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",0.571984048567247,0.52313975263387,0.838765040971339,0.180028784435708,0.840416672526596,0.509389157024728,0.822430746730352,0.573649466776116,0.541713671463856,0.559705284722646,0.20377,0.824018893341592,0.826443373791133,0.824954448228408,0.82471901707683,0.826962966325724,0.824705658497075,0.000700123735237757,-0.000235431151578425,0.00200851809731573,0.000686765155483382
"26",0.0637807398475707,0.854006924293935,0.281301273219287,0.046002155826427,0.870633398896777,0.817566566251227,0.248719577570274,0.0523230135045062,0.0614264348552027,0.0643145225029869,0.0805600000000002,0.83621024348956,0.834842458545954,0.834418962398487,0.83421481738678,0.634243469709244,0.83422614989685,-0.00199542610277947,-0.000204145011706292,-0.200175492689242,-0.00198409359271023
"27",0.755015705034602,0.286707050539553,0.165630612336099,0.0909297329233959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",0.121721495760139,0.884494908154011,0.770526861399412,0.257788499428425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",0.166808224758133,0.357131858728826,0.556493901088834,0.147928328211419,0.616455004071485,0.34136276720483,0.533727167268253,0.161190808307125,0.15268182192226,0.159717775830003,0.17513,0.593400752799016,0.595267848273376,0.593721970914885,0.593012490849766,0.60373260396914,0.592974489883111,-0.000388261949249902,-0.000709480065119061,0.0100106330542553,-0.000426262915904418
"30",0.00634088464546949,0.265727577358484,0.497125898115337,0.247160604973324,0.565152829661111,0.255882872107918,0.483856518557959,-0.00947583343795393,0.0043390358760259,0.00454382383503155,0.261959999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",0.74131223136792,0.557769498415291,0.440456026606262,0.185480650030077,0.559291447022513,0.536930876459083,0.423680312125372,0.743160265665997,0.712198517362332,0.728646995059825,0.20654,0.538337059284453,0.540357137258511,0.539184705681121,0.538930451414657,0.543591329341049,0.538936503358549,0.000593392130204595,-0.00025425426646386,0.00440662365992761,0.000599444074096622
"32",0.0547687740647234,0.121569047681987,0.125887972488999,0.136336406576447,0.170366816232493,0.116749939985552,0.124370802393743,0.0519268899414397,0.0465211338667401,0.0487120000653174,0.163209999999998,0.166334154018289,0.166762257564219,0.166588353471907,0.165659445197265,0.23218600122252,0.16563958028975,-0.000674708821024383,-0.000928908274642204,0.0655976477506126,-0.000694573728539316
"33",0.941567846748512,0.573147062957287,0.467885819077492,0.406983362839092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",0.45933034441201,0.690696791000664,0.700560932420194,0.252278790005948,0.821587802969155,0.667290517157238,0.688478036135249,0.457876827287618,0.430028231947291,0.446529050228379,0.26746,0.802128341892287,0.810463056067969,0.805493230390255,0.807920575243345,0.811528187669657,0.807920554827408,0.00579223335105805,0.00242734485308982,0.00603495727940184,0.00579221293512133
"35",0.884080693849828,0.568190781585872,0.832145073078573,0.379122889391147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",0.595823150721844,0.7764653082937,0.145349306426942,0.334849018228706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",0.0586095409258269,0.829175589978695,0.721588813699782,0.134528532049153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",0.0864826031704433,0.684946788847446,0.833292506821454,0.322956829951145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",0.872589553724974,0.208850427344441,0.498739696294069,0.0417171225976199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",0.42411400739802,0.836126441136003,0.668999484367669,0.219391160071827,0.909691014179429,0.819866113208042,0.65091228709237,0.426223517579344,0.397173726584841,0.412927936601903,0.239839999999999,0.89164123617224,0.900463295695052,0.895631479296102,0.899186105828797,0.901510438306678,0.899177565747871,0.00754486965655743,0.00355462653269534,0.00587895901057678,0.00753632957563122
"41",0.708579835023265,0.845024507492781,0.341579516418278,0.494311787523329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",0.283982947126497,0.740345527231693,0.180945290438831,0.17365249548573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",0.864250067677349,0.376070805452764,0.537072089314461,0.253966192523949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",0.269753619257826,0.548789827339351,0.624173536151648,0.0467011995986104,0.720250673953708,0.499628067897088,0.576498850583979,0.256194080283562,0.256176319103638,0.267463501286505,0.0816600000000004,0.67253099442631,0.672535248073364,0.66984946630125,0.671402151570909,0.692564749253602,0.671417211915413,-0.00112884285540105,0.00155268526965902,0.0227152829523518,-0.00111378251089711
"45",0.106297080118675,0.749805613420904,0.802318442240357,0.482710555361118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",0.57146629329538,0.83963283393532,0.611715390719473,0.248241127203219,0.858127430162345,0.826659316591089,0.595843772294445,0.573632201257689,0.539970787002045,0.557952834920094,0.26416,0.843427668257456,0.849874567320535,0.846335573084925,0.846172127917644,0.847851584904651,0.846171396358971,0.00274445966018777,-0.000163445167281617,0.00151601181972594,0.0027437281015148
"47",0.745485894314479,0.320948476344347,0.556175692379475,0.10330252610147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",0.551303168192972,0.316868124902248,0.707637268491089,0.381997092012316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",0.297422400880605,0.490033943578601,0.607746619358659,0.170556958350353,0.68841015583022,0.470002377512431,0.585937833544466,0.306265294063899,0.279507278933511,0.291655606335142,0.194960000000001,0.6620787007952,0.668629631211165,0.665625710335455,0.66678773236203,0.675054634261269,0.66678781773921,0.00470903156683034,0.00116202202657512,0.00942892392581385,0.00470911694401033
